epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.02292993664741516,5.502645969390869,1e-04,0.06234096735715866,4.829831123352051
1,0.1085987240076065,4.411503314971924,1e-04,0.22519083321094513,3.6459169387817383
2,0.23980891704559326,3.644899368286133,1e-04,0.3524172902107239,3.0703060626983643
3,0.364012748003006,3.044100761413574,1e-04,0.41475826501846313,2.7007360458374023
4,0.48089173436164856,2.520655632019043,1e-04,0.4974554777145386,2.3507370948791504
